ID;Vorname;Nachname;Kunden-Betreuer
1053;Israel;Gathers;7
1054;Melinda;Gilmore;10
1055;Alice;Kaneta;3
1056;Barbara;Holmes;1
1057;Jeffery;Edwards;3
1058;Shandra;Gallo;2
1059;Samuel;Nash;6
1060;Jeanette;Marino;8
1061;Marie;Diaz;7
1062;Lashawn;Gambrill;4
1063;Wanda;Bowers;7
1064;Irene;Aubrey;9
1065;Katherine;Garcia;5
1066;Nettie;Perez;3
1067;Tiffany;Erickson;1
1068;Mary;Pickering;5
1069;Theodore;Kohl;4
1070;Cheryl;Dennison;1
1071;Eric;Spease;2
1072;Rhoda;Bryan;1
1073;John;Testa;3
1074;Robert;Watkins;10
1075;Shane;Dutcher;5
1076;Joshua;Flores;5
1077;Helen;King;5
1078;Edwardo;Williams;4
1079;Armando;Quarles;9
1080;Mabel;Sanchez;4
1081;Adam;Brown;4
1082;Darryl;Lyons;6
1083;Penny;Woolard;1
1084;Joan;Gray;6
1085;Toni;Mcculley;9
1086;Lisa;Duarte;5
1087;Leah;Levine;3
1088;Linda;Stohr;10
1089;Gregory;Cook;7
1090;Matt;Mitchell;1
1091;David;Wooten;9
1092;Michael;Oeltjen;7
1093;Colleen;Dykes;6
1094;Martin;Powell;3
1095;Selina;Allard;4
1096;Chad;Callahan;5
1097;John;Hays;3
1098;William;Roberts;8
1099;John;Chappell;9
1100;Mario;Gray;5
1101;Carmen;Garcia;1
1102;Moon;Miller;2
1103;Flora;Ford;3
1104;Cynthia;Couchman;10
1105;Manuel;Gibson;10
1106;Daniel;Greer;7
1107;Teresa;Pecoraino;10
1108;Norma;Peterson;7
1109;Margaret;Graham;1
1110;Shawn;Hassell;1
1111;Brenda;Davies;5
1112;Jesus;Sanders;1
1113;Bryan;Larrick;8
1114;Raul;Hoffman;4
1115;Mildred;Smith;8
1116;Giselle;Moreno;9
1117;Donald;Ratcliffe;8
1118;Brian;Pendergrass;3
1119;Arthur;Little;2
1120;Robert;Rich;5
1121;John;Williams;3
1122;Andrew;Dean;8
1123;Dorthy;Devera;9
1124;Eric;Roberts;5
1125;Edna;Smith;6
1126;Daniel;Reynolds;4
1127;Mary;Golightly;1
1128;Kelly;Puckett;3
1129;Erik;Bowman;5
1130;James;Garnes;8
1131;Adam;Smith;8
1132;Art;Etheridge;7
1133;Erin;Mayo;10
1134;Amalia;Flores;3
1135;Jose;Gregory;4
1136;Michael;Klein;10
1137;Louis;Hedges;6
1138;Wendy;Terry;6
1139;Elaine;Hayashi;3
1140;Miriam;Webb;10
